return_id,transaction_id,return_date,return_reason,refund_amount
RET00039,TX000339,2026-03-18 00:00:00,Wrong Size,218.02
RET00040,TX000345,2025-01-25 00:00:00,Not as Described,136.62
RET00041,TX000347,2026-03-06 00:00:00,Defective,83.55
RET00042,TX000353,2026-05-08 00:00:00,Defective,34.18
RET00043,TX000354,2026-06-06 00:00:00,Not as Described,91.04
RET00044,TX000355,2026-06-06 00:00:00,Changed Mind,86.4
RET00045,TX000359,2025-12-18 00:00:00,Wrong Size,146.16
RET00046,TX000360,2026-02-03 00:00:00,Not as Described,119.39
RET00047,TX000361,2026-02-28 00:00:00,Late Delivery,243.01
RET00048,TX000364,2026-06-23 00:00:00,Defective,228.68
RET00049,TX000368,2025-10-11 00:00:00,Changed Mind,108.24
RET00050,TX000383,2026-02-27 00:00:00,Defective,153.92
RET00051,TX000384,2026-02-26 00:00:00,Defective,211.04
RET00052,TX000387,2026-04-12 00:00:00,Changed Mind,77.1
RET00053,TX000403,2026-06-27 00:00:00,Defective,20.55
RET00054,TX000407,2024-10-10 00:00:00,Changed Mind,84.73
RET00055,TX000419,2026-01-07 00:00:00,Changed Mind,192.2
RET00056,TX000431,2025-10-01 00:00:00,Changed Mind,24.09
RET00057,TX000440,2025-09-29 00:00:00,Wrong Size,137.42
RET00058,TX000441,2025-10-19 00:00:00,Not as Described,65.94
RET00059,TX000454,2025-05-17 00:00:00,Late Delivery,165.9
RET00060,TX000455,2025-06-14 00:00:00,Late Delivery,110.2
RET00061,TX000456,2025-06-29 00:00:00,Not as Described,309.48
RET00062,TX000464,2026-04-09 00:00:00,Wrong Size,68.67
RET00063,TX000467,2026-06-02 00:00:00,Defective,238.68
RET00064,TX000482,2025-08-25 00:00:00,Defective,150.04
RET00065,TX000484,2025-12-08 00:00:00,Late Delivery,110.56
RET00066,TX000501,2025-09-10 00:00:00,Wrong Size,141.87
RET00067,TX000503,2026-05-16 00:00:00,Defective,691.14
RET00068,TX000508,2025-07-06 00:00:00,Wrong Size,133.97
RET00069,TX000514,2026-06-23 00:00:00,Changed Mind,159.68
RET00070,TX000544,2025-01-28 00:00:00,Defective,45.11
RET00071,TX000556,2026-04-16 00:00:00,Late Delivery,118.85
RET00072,TX000557,2026-04-21 00:00:00,Defective,425.16
RET00073,TX000571,2026-05-31 00:00:00,Not as Described,58.87
RET00074,TX000575,2025-09-28 00:00:00,Late Delivery,101.62
RET00075,TX000584,2025-11-08 00:00:00,Wrong Size,78.54
RET00076,TX000591,2026-05-27 00:00:00,Changed Mind,95.01
RET00077,TX000615,2025-11-14 00:00:00,Not as Described,207.52
RET00078,TX000624,2024-10-21 00:00:00,Late Delivery,134.74
RET00079,TX000627,2026-06-29 00:00:00,Not as Described,127.99
RET00080,TX000628,2024-08-26 00:00:00,Changed Mind,51.25
RET00081,TX000649,2025-11-30 00:00:00,Defective,66.17
RET00082,TX000653,2026-05-16 00:00:00,Not as Described,252.34
RET00083,TX000666,2024-12-27 00:00:00,Wrong Size,175.49
RET00084,TX000667,2025-12-09 00:00:00,Not as Described,37.89
RET00085,TX000675,2026-01-30 00:00:00,Wrong Size,26.94
RET00086,TX000677,2025-09-02 00:00:00,Wrong Size,326.75
RET00087,TX000678,2025-09-18 00:00:00,Late Delivery,190.68
RET00088,TX000688,2024-06-09 00:00:00,Defective,29.48
RET00089,TX000693,2025-07-15 00:00:00,Not as Described,139.61
RET00090,TX000722,2026-02-21 00:00:00,Late Delivery,183.66
RET00091,TX000727,2026-02-04 00:00:00,Wrong Size,223.54
RET00092,TX000728,2026-03-16 00:00:00,Not as Described,29.81
RET00093,TX000735,2026-03-19 00:00:00,Wrong Size,89.06
RET00094,TX000736,2026-03-30 00:00:00,Not as Described,164.67
RET00095,TX000743,2026-06-01 00:00:00,Changed Mind,221.91
RET00096,TX000746,2026-04-08 00:00:00,Not as Described,117.06
RET00097,TX000747,2026-05-19 00:00:00,Late Delivery,266.5
RET00098,TX000756,2025-08-25 00:00:00,Not as Described,86.4
RET00099,TX000757,2025-10-24 00:00:00,Wrong Size,60.62
RET00100,TX000766,2025-06-14 00:00:00,Wrong Size,147.71
RET00101,TX000771,2025-08-13 00:00:00,Changed Mind,61.23
RET00102,TX000780,2024-11-12 00:00:00,Changed Mind,111.17
RET00103,TX000793,2026-05-11 00:00:00,Wrong Size,87.25
RET00104,TX000795,2026-03-17 00:00:00,Defective,77.5
RET00105,TX000811,2026-06-14 00:00:00,Defective,28.7
RET00106,TX000822,2026-01-25 00:00:00,Late Delivery,36.68
RET00107,TX000834,2026-03-03 00:00:00,Not as Described,48.06
RET00108,TX000835,2025-07-18 00:00:00,Not as Described,63.47
RET00109,TX000837,2025-07-17 00:00:00,Not as Described,368.83
RET00110,TX000839,2025-10-03 00:00:00,Wrong Size,10.57
RET00111,TX000847,2025-10-14 00:00:00,Wrong Size,137.85
RET00112,TX000855,2026-01-01 00:00:00,Late Delivery,93.36
RET00113,TX000870,2026-02-11 00:00:00,Not as Described,88.81
RET00114,TX000874,2026-04-07 00:00:00,Not as Described,105.3
RET00115,TX000891,2026-05-06 00:00:00,Changed Mind,122.19
RET00116,TX000895,2026-06-12 00:00:00,Defective,78.52
RET00117,TX000897,2026-06-10 00:00:00,Changed Mind,211.11
RET00118,TX000904,2025-11-11 00:00:00,Not as Described,141.97
RET00119,TX000905,2026-02-27 00:00:00,Not as Described,33.96
RET00120,TX000906,2026-02-28 00:00:00,Defective,89.64
RET00121,TX000911,2024-09-23 00:00:00,Changed Mind,145.89
RET00122,TX000924,2025-12-10 00:00:00,Changed Mind,118.38
RET00123,TX000927,2026-01-22 00:00:00,Changed Mind,54.78
RET00124,TX000928,2026-04-19 00:00:00,Not as Described,121.79
RET00125,TX000937,2025-05-31 00:00:00,Late Delivery,62.49
RET00126,TX000947,2026-05-30 00:00:00,Changed Mind,109.28
RET00127,TX000951,2025-12-21 00:00:00,Late Delivery,65.64
RET00128,TX000956,2026-02-06 00:00:00,Not as Described,139.16
RET00129,TX000961,2026-05-08 00:00:00,Not as Described,188.84
RET00130,TX000968,2026-01-04 00:00:00,Changed Mind,42.56
RET00131,TX000980,2025-08-29 00:00:00,Not as Described,373.82
RET00132,TX000981,2025-09-18 00:00:00,Late Delivery,88.37
RET00133,TX000991,2026-06-23 00:00:00,Not as Described,273.11
RET00134,TX000996,2025-12-02 00:00:00,Late Delivery,36.88
RET00135,TX001004,2026-02-20 00:00:00,Wrong Size,44.47
RET00136,TX001026,2024-08-30 00:00:00,Defective,58.73
RET00137,TX001028,2025-09-24 00:00:00,Late Delivery,142.93
RET00138,TX001038,2026-01-09 00:00:00,Not as Described,59.6
RET00139,TX001040,2026-06-01 00:00:00,Defective,65.49
RET00140,TX001046,2025-07-06 00:00:00,Wrong Size,356.23
RET00141,TX001051,2024-09-17 00:00:00,Late Delivery,77.56
RET00142,TX001053,2025-01-24 00:00:00,Defective,74.89
RET00143,TX001055,2025-03-10 00:00:00,Changed Mind,73.21
RET00144,TX001056,2025-03-10 00:00:00,Wrong Size,266.14
RET00145,TX001075,2025-09-13 00:00:00,Wrong Size,35.94
RET00146,TX001076,2026-02-19 00:00:00,Changed Mind,148.19
RET00147,TX001085,2026-06-29 00:00:00,Wrong Size,11.76
RET00148,TX001086,2024-11-01 00:00:00,Late Delivery,24.93
RET00149,TX001087,2025-09-21 00:00:00,Not as Described,37.35
RET00150,TX001090,2024-06-17 00:00:00,Wrong Size,56.22
RET00151,TX001091,2024-07-20 00:00:00,Not as Described,27.53
RET00152,TX001124,2025-10-22 00:00:00,Defective,99.44
RET00153,TX001131,2025-11-09 00:00:00,Wrong Size,137.72
RET00154,TX001152,2026-05-07 00:00:00,Late Delivery,259.68
RET00155,TX001166,2025-04-30 00:00:00,Changed Mind,118.6
RET00156,TX001170,2025-07-02 00:00:00,Late Delivery,140.49
RET00157,TX001172,2025-09-11 00:00:00,Late Delivery,74.59
RET00158,TX001180,2025-11-28 00:00:00,Defective,86.49
RET00159,TX001188,2026-01-22 00:00:00,Late Delivery,289.32
RET00160,TX001202,2026-01-11 00:00:00,Changed Mind,294.78
RET00161,TX001211,2024-08-20 00:00:00,Defective,50.94
RET00162,TX001224,2025-08-29 00:00:00,Not as Described,131.4
RET00163,TX001225,2025-11-14 00:00:00,Defective,284.48
RET00164,TX001227,2025-12-13 00:00:00,Defective,220.14
RET00165,TX001232,2025-12-24 00:00:00,Late Delivery,54.81
RET00166,TX001243,2025-05-17 00:00:00,Defective,55.9
RET00167,TX001247,2025-04-20 00:00:00,Defective,114.27
RET00168,TX001264,2026-06-13 00:00:00,Not as Described,71.7
RET00169,TX001268,2025-07-01 00:00:00,Late Delivery,81.93
RET00170,TX001271,2025-10-01 00:00:00,Not as Described,124.0
RET00171,TX001274,2024-10-25 00:00:00,Wrong Size,64.49
RET00172,TX001280,2026-04-04 00:00:00,Changed Mind,179.73
RET00173,TX001291,2024-10-05 00:00:00,Not as Described,492.93
RET00174,TX001303,2025-06-27 00:00:00,Changed Mind,22.21
RET00175,TX001310,2025-03-13 00:00:00,Wrong Size,131.9
RET00176,TX001313,2025-05-16 00:00:00,Defective,32.59
RET00177,TX001333,2026-03-08 00:00:00,Defective,97.85
RET00178,TX001337,2026-04-09 00:00:00,Not as Described,117.37
RET00179,TX001348,2026-06-24 00:00:00,Changed Mind,30.4
RET00180,TX001355,2025-11-12 00:00:00,Late Delivery,55.41
RET00181,TX001363,2025-06-05 00:00:00,Not as Described,75.57
RET00182,TX001368,2025-01-22 00:00:00,Defective,40.42
RET00183,TX001372,2025-11-13 00:00:00,Changed Mind,61.89
RET00184,TX001374,2026-02-20 00:00:00,Defective,265.22
RET00185,TX001375,2026-05-11 00:00:00,Late Delivery,145.11
RET00186,TX001378,2024-08-11 00:00:00,Wrong Size,52.8
RET00187,TX001395,2026-06-16 00:00:00,Late Delivery,135.3
RET00188,TX001398,2026-03-24 00:00:00,Defective,211.32
RET00189,TX001399,2026-05-31 00:00:00,Wrong Size,130.19
RET00190,TX001406,2025-12-03 00:00:00,Not as Described,72.79
RET00191,TX001408,2026-04-30 00:00:00,Late Delivery,198.78
RET00192,TX001411,2026-05-05 00:00:00,Wrong Size,64.46
RET00193,TX001417,2026-06-22 00:00:00,Changed Mind,29.96
RET00194,TX001433,2026-04-09 00:00:00,Changed Mind,106.86
RET00195,TX001436,2025-10-16 00:00:00,Late Delivery,72.76
RET00196,TX001439,2025-02-01 00:00:00,Late Delivery,47.91
RET00197,TX001440,2025-02-04 00:00:00,Not as Described,133.37
RET00198,TX001451,2026-06-12 00:00:00,Wrong Size,66.69
RET00199,TX001456,2026-04-16 00:00:00,Late Delivery,238.01
RET00200,TX001460,2026-05-23 00:00:00,Not as Described,104.51
RET00201,TX001464,2026-06-08 00:00:00,Defective,92.19
RET00202,TX001469,2025-03-14 00:00:00,Defective,54.02
RET00203,TX001472,2026-03-17 00:00:00,Late Delivery,69.16
RET00204,TX001475,2026-01-15 00:00:00,Defective,135.56
RET00205,TX001476,2026-02-06 00:00:00,Wrong Size,23.72
RET00206,TX001481,2026-03-27 00:00:00,Changed Mind,40.48
RET00207,TX001490,2025-07-12 00:00:00,Changed Mind,106.17
RET00208,TX001500,2026-06-04 00:00:00,Late Delivery,32.42
RET00209,TX001501,2026-04-13 00:00:00,Not as Described,165.06
RET00210,TX001509,2025-03-26 00:00:00,Defective,93.32
RET00211,TX001512,2025-04-15 00:00:00,Not as Described,257.29
RET00212,TX001514,2025-04-20 00:00:00,Not as Described,225.52
RET00213,TX001529,2026-04-03 00:00:00,Late Delivery,162.38
RET00214,TX001530,2026-05-08 00:00:00,Not as Described,99.1
RET00215,TX001536,2025-02-01 00:00:00,Wrong Size,12.34
RET00216,TX001540,2025-05-16 00:00:00,Wrong Size,171.42
RET00217,TX001542,2025-06-28 00:00:00,Not as Described,66.4
RET00218,TX001543,2025-07-23 00:00:00,Late Delivery,179.32
RET00219,TX001545,2025-08-16 00:00:00,Late Delivery,98.19
RET00220,TX001558,2026-05-16 00:00:00,Wrong Size,70.85
RET00221,TX001560,2026-05-27 00:00:00,Late Delivery,355.3
RET00222,TX001568,2025-02-10 00:00:00,Not as Described,43.43
RET00223,TX001573,2026-06-14 00:00:00,Wrong Size,55.55
RET00224,TX001576,2025-09-19 00:00:00,Changed Mind,226.54
RET00225,TX001590,2024-07-15 00:00:00,Wrong Size,67.16
RET00226,TX001605,2024-12-25 00:00:00,Defective,39.97
RET00227,TX001606,2025-05-20 00:00:00,Defective,355.54
RET00228,TX001609,2025-11-07 00:00:00,Changed Mind,186.7
RET00229,TX001619,2025-12-29 00:00:00,Late Delivery,58.42
RET00230,TX001631,2026-05-23 00:00:00,Late Delivery,96.39
RET00231,TX001643,2025-07-20 00:00:00,Not as Described,76.18
RET00232,TX001646,2025-10-01 00:00:00,Defective,30.17
RET00233,TX001647,2026-03-19 00:00:00,Changed Mind,76.25
RET00234,TX001650,2025-07-26 00:00:00,Defective,96.47
RET00235,TX001652,2025-09-29 00:00:00,Not as Described,861.28
RET00236,TX001653,2025-10-10 00:00:00,Defective,52.75
RET00237,TX001655,2026-02-04 00:00:00,Not as Described,60.79
RET00238,TX001658,2025-10-27 00:00:00,Defective,105.42
RET00239,TX001663,2026-01-04 00:00:00,Defective,78.09
RET00240,TX001665,2026-04-07 00:00:00,Wrong Size,183.62
RET00241,TX001666,2024-08-24 00:00:00,Wrong Size,161.91
RET00242,TX001671,2026-04-30 00:00:00,Late Delivery,118.62
RET00243,TX001672,2024-06-25 00:00:00,Changed Mind,86.9
RET00244,TX001674,2026-04-08 00:00:00,Changed Mind,70.81
RET00245,TX001675,2026-04-18 00:00:00,Defective,14.76
RET00246,TX001676,2026-04-24 00:00:00,Late Delivery,56.68
RET00247,TX001680,2025-12-10 00:00:00,Changed Mind,47.69
RET00248,TX001681,2026-03-03 00:00:00,Late Delivery,49.64
RET00249,TX001691,2026-02-01 00:00:00,Wrong Size,116.67
RET00250,TX001694,2026-04-19 00:00:00,Late Delivery,199.13
RET00251,TX001697,2026-03-18 00:00:00,Defective,99.01
RET00252,TX001698,2026-05-23 00:00:00,Late Delivery,106.64
RET00253,TX001710,2025-04-09 00:00:00,Defective,64.08
RET00254,TX001715,2026-04-20 00:00:00,Defective,291.74
RET00255,TX001717,2026-05-29 00:00:00,Defective,91.53
RET00256,TX001721,2025-11-05 00:00:00,Not as Described,21.18
RET00257,TX001736,2025-04-05 00:00:00,Wrong Size,97.86
RET00258,TX001742,2024-10-18 00:00:00,Changed Mind,246.15
RET00259,TX001743,2025-08-18 00:00:00,Defective,55.77
RET00260,TX001752,2026-05-01 00:00:00,Late Delivery,66.84
RET00261,TX001757,2024-10-28 00:00:00,Not as Described,65.83
RET00262,TX001765,2025-12-27 00:00:00,Late Delivery,283.44
RET00263,TX001767,2026-01-23 00:00:00,Not as Described,90.91
RET00264,TX001776,2026-05-09 00:00:00,Late Delivery,185.58
RET00265,TX001779,2024-12-11 00:00:00,Not as Described,126.65
RET00266,TX001785,2026-01-04 00:00:00,Changed Mind,89.82
RET00267,TX001795,2025-03-27 00:00:00,Defective,189.78
RET00268,TX001819,2025-07-19 00:00:00,Wrong Size,53.54
RET00269,TX001822,2025-10-13 00:00:00,Late Delivery,39.57
RET00270,TX001826,2026-02-13 00:00:00,Defective,58.49
RET00271,TX001830,2026-01-29 00:00:00,Defective,129.33
RET00272,TX001836,2026-06-04 00:00:00,Defective,145.07
RET00273,TX001842,2025-08-23 00:00:00,Changed Mind,40.77
RET00274,TX001848,2025-12-01 00:00:00,Changed Mind,64.29
RET00275,TX001853,2026-03-11 00:00:00,Changed Mind,103.42
RET00276,TX001856,2025-05-24 00:00:00,Defective,63.74
RET00277,TX001860,2025-01-24 00:00:00,Wrong Size,512.3
RET00278,TX001867,2026-06-19 00:00:00,Changed Mind,71.06
RET00279,TX001868,2025-12-19 00:00:00,Wrong Size,92.35
RET00280,TX001871,2026-04-21 00:00:00,Wrong Size,148.01
RET00281,TX001873,2025-09-29 00:00:00,Changed Mind,61.18
RET00282,TX001875,2025-08-09 00:00:00,Late Delivery,107.67
RET00283,TX001876,2024-11-11 00:00:00,Late Delivery,49.39
RET00284,TX001879,2025-08-09 00:00:00,Wrong Size,63.45
RET00285,TX001882,2026-05-07 00:00:00,Late Delivery,186.36
RET00286,TX001884,2026-06-12 00:00:00,Late Delivery,46.6
RET00287,TX001888,2025-12-10 00:00:00,Defective,85.03
RET00288,TX001894,2026-05-09 00:00:00,Wrong Size,104.24
RET00289,TX001912,2026-02-04 00:00:00,Defective,61.76
RET00290,TX001913,2026-02-24 00:00:00,Defective,196.53
RET00291,TX001924,2025-01-09 00:00:00,Changed Mind,66.41
RET00292,TX001927,2025-10-12 00:00:00,Late Delivery,57.76
RET00293,TX001931,2025-10-13 00:00:00,Wrong Size,66.92
RET00294,TX001938,2025-02-20 00:00:00,Wrong Size,74.77
RET00295,TX001940,2024-12-30 00:00:00,Late Delivery,97.96
RET00296,TX001945,2026-01-11 00:00:00,Not as Described,315.82
RET00297,TX001949,2025-12-14 00:00:00,Late Delivery,122.73
RET00298,TX001957,2025-12-03 00:00:00,Not as Described,141.09
RET00299,TX001959,2026-03-29 00:00:00,Wrong Size,127.14
RET00300,TX001961,2025-06-15 00:00:00,Wrong Size,196.85
RET00301,TX001981,2024-10-18 00:00:00,Changed Mind,25.35
RET00302,TX001987,2026-06-16 00:00:00,Not as Described,102.03
RET00303,TX001991,2025-10-13 00:00:00,Not as Described,86.04
RET00304,TX001998,2026-04-03 00:00:00,Changed Mind,129.54
RET00305,TX002004,2025-06-12 00:00:00,Not as Described,75.54
RET00306,TX002010,2025-02-21 00:00:00,Defective,47.71
RET00307,TX002015,2025-07-23 00:00:00,Not as Described,43.98
RET00308,TX002017,2025-12-05 00:00:00,Changed Mind,52.12
RET00309,TX002019,2026-02-01 00:00:00,Defective,241.86
RET00310,TX002021,2026-03-31 00:00:00,Late Delivery,57.69
RET00311,TX002024,2025-01-25 00:00:00,Defective,26.17
RET00312,TX002026,2024-08-04 00:00:00,Changed Mind,105.97
RET00313,TX002028,2024-09-12 00:00:00,Defective,75.87
RET00314,TX002034,2025-07-23 00:00:00,Not as Described,109.42
RET00315,TX002035,2025-08-27 00:00:00,Late Delivery,42.05
RET00316,TX002037,2025-11-18 00:00:00,Wrong Size,158.55
RET00317,TX002039,2026-05-08 00:00:00,Changed Mind,64.14
RET00318,TX002045,2026-01-31 00:00:00,Late Delivery,327.79
RET00319,TX002050,2025-11-04 00:00:00,Late Delivery,293.89
RET00320,TX002053,2024-09-27 00:00:00,Defective,89.22
RET00321,TX002067,2024-12-05 00:00:00,Not as Described,105.81
RET00322,TX002075,2025-04-13 00:00:00,Not as Described,95.24
RET00323,TX002079,2025-07-09 00:00:00,Not as Described,362.96
RET00324,TX002086,2025-11-16 00:00:00,Wrong Size,166.31
RET00325,TX002088,2026-04-11 00:00:00,Defective,59.72
RET00326,TX002104,2026-04-07 00:00:00,Not as Described,217.8
RET00327,TX002133,2026-03-18 00:00:00,Not as Described,188.85
RET00328,TX002138,2026-05-25 00:00:00,Defective,59.54
RET00329,TX002141,2025-04-05 00:00:00,Not as Described,74.36
RET00330,TX002147,2025-09-24 00:00:00,Late Delivery,288.24
RET00331,TX002150,2025-08-23 00:00:00,Defective,42.28
RET00332,TX002158,2025-12-09 00:00:00,Wrong Size,154.59
RET00333,TX002159,2024-08-17 00:00:00,Late Delivery,403.76
RET00334,TX002163,2025-02-08 00:00:00,Not as Described,67.38
RET00335,TX002169,2026-04-12 00:00:00,Not as Described,255.43
RET00336,TX002176,2026-03-22 00:00:00,Defective,44.62
RET00337,TX002178,2025-10-03 00:00:00,Late Delivery,135.16
RET00338,TX002191,2025-07-12 00:00:00,Not as Described,79.03
RET00339,TX002193,2026-05-18 00:00:00,Late Delivery,65.28
RET00340,TX002200,2024-10-08 00:00:00,Not as Described,97.87
RET00341,TX002204,2025-07-11 00:00:00,Changed Mind,317.79
RET00342,TX002206,2025-09-06 00:00:00,Changed Mind,382.04
RET00343,TX002211,2026-01-19 00:00:00,Late Delivery,129.92
RET00344,TX002214,2026-05-29 00:00:00,Changed Mind,40.92
RET00345,TX002221,2025-06-01 00:00:00,Changed Mind,180.64
RET00346,TX002225,2026-05-20 00:00:00,Late Delivery,966.09
RET00347,TX002231,2026-06-10 00:00:00,Changed Mind,11.33
RET00348,TX002241,2025-10-26 00:00:00,Not as Described,115.34
RET00349,TX002242,2026-06-03 00:00:00,Defective,111.46
RET00350,TX002245,2024-10-13 00:00:00,Defective,138.52
RET00351,TX002248,2025-04-22 00:00:00,Not as Described,91.59
RET00352,TX002257,2026-06-23 00:00:00,Changed Mind,133.7
RET00353,TX002265,2026-04-24 00:00:00,Changed Mind,47.08
RET00354,TX002277,2025-12-26 00:00:00,Changed Mind,31.61
RET00355,TX002287,2026-01-14 00:00:00,Wrong Size,273.14
RET00356,TX002291,2026-06-19 00:00:00,Wrong Size,25.57
RET00357,TX002301,2026-02-06 00:00:00,Not as Described,134.14
RET00358,TX002313,2025-03-08 00:00:00,Not as Described,69.71
RET00359,TX002321,2025-10-17 00:00:00,Changed Mind,46.21
RET00360,TX002322,2025-11-08 00:00:00,Not as Described,384.18
RET00361,TX002331,2026-04-14 00:00:00,Not as Described,60.62
RET00362,TX002333,2026-04-18 00:00:00,Wrong Size,118.74
RET00363,TX002334,2026-05-01 00:00:00,Wrong Size,120.36
RET00364,TX002358,2025-03-10 00:00:00,Late Delivery,112.92
RET00365,TX002359,2025-03-25 00:00:00,Wrong Size,94.3
RET00366,TX002376,2024-04-21 00:00:00,Not as Described,347.42
RET00367,TX002378,2025-10-28 00:00:00,Not as Described,81.29
RET00368,TX002396,2025-01-09 00:00:00,Changed Mind,145.9
RET00369,TX002403,2025-04-16 00:00:00,Late Delivery,103.27
RET00370,TX002408,2026-01-09 00:00:00,Defective,69.35
RET00371,TX002412,2025-12-13 00:00:00,Not as Described,67.43
RET00372,TX002414,2025-03-20 00:00:00,Not as Described,241.38
RET00373,TX002416,2025-10-01 00:00:00,Not as Described,229.61
RET00374,TX002422,2026-05-20 00:00:00,Late Delivery,48.92
RET00375,TX002429,2025-09-14 00:00:00,Defective,23.33
RET00376,TX002443,2026-06-03 00:00:00,Defective,74.99
RET00377,TX002444,2026-06-05 00:00:00,Defective,270.69
RET00378,TX002447,2026-06-28 00:00:00,Changed Mind,181.9
RET00379,TX002452,2024-11-06 00:00:00,Changed Mind,117.03
RET00380,TX002454,2025-09-16 00:00:00,Not as Described,53.12
RET00381,TX002465,2026-01-14 00:00:00,Late Delivery,367.2
RET00382,TX002466,2026-02-21 00:00:00,Changed Mind,250.31
RET00383,TX002472,2025-09-05 00:00:00,Defective,96.81
RET00384,TX002476,2026-01-09 00:00:00,Wrong Size,216.45
RET00385,TX002479,2026-04-23 00:00:00,Wrong Size,28.74
RET00386,TX002482,2026-06-04 00:00:00,Wrong Size,69.55
RET00387,TX002502,2026-04-20 00:00:00,Wrong Size,375.66
RET00388,TX002512,2026-01-07 00:00:00,Wrong Size,47.89
RET00389,TX002519,2025-09-21 00:00:00,Changed Mind,160.04
RET00390,TX002536,2025-03-15 00:00:00,Late Delivery,123.85
RET00391,TX002538,2025-10-08 00:00:00,Not as Described,109.32
RET00392,TX002546,2026-03-02 00:00:00,Changed Mind,63.11
RET00393,TX002549,2026-05-26 00:00:00,Wrong Size,146.6
RET00394,TX002555,2025-09-29 00:00:00,Late Delivery,76.84
RET00395,TX002558,2025-10-25 00:00:00,Defective,894.2
RET00396,TX002563,2026-02-05 00:00:00,Late Delivery,42.22
RET00397,TX002567,2026-06-23 00:00:00,Wrong Size,140.69
RET00398,TX002579,2026-03-22 00:00:00,Late Delivery,96.04
RET00399,TX002601,2025-11-22 00:00:00,Not as Described,170.25
RET00400,TX002610,2025-04-30 00:00:00,Wrong Size,96.12
RET00401,TX002612,2025-12-10 00:00:00,Wrong Size,467.28
RET00402,TX002622,2026-02-05 00:00:00,Changed Mind,64.89
RET00403,TX002645,2026-03-12 00:00:00,Defective,74.34
RET00404,TX002648,2026-05-28 00:00:00,Not as Described,336.06
RET00405,TX002650,2026-06-03 00:00:00,Late Delivery,408.75
RET00406,TX002653,2024-09-13 00:00:00,Changed Mind,127.12
RET00407,TX002662,2026-04-28 00:00:00,Wrong Size,198.42
RET00408,TX002666,2025-08-02 00:00:00,Not as Described,62.22
RET00409,TX002694,2025-06-22 00:00:00,Defective,35.26
RET00410,TX002706,2026-05-04 00:00:00,Late Delivery,267.72
RET00411,TX002707,2026-05-18 00:00:00,Changed Mind,156.02
RET00412,TX002713,2024-08-17 00:00:00,Not as Described,114.82
RET00413,TX002734,2025-12-26 00:00:00,Not as Described,134.5
RET00414,TX002743,2026-05-14 00:00:00,Late Delivery,110.48
RET00415,TX002746,2025-01-24 00:00:00,Defective,88.89
RET00416,TX002763,2026-01-06 00:00:00,Late Delivery,77.25
RET00417,TX002769,2026-05-08 00:00:00,Not as Described,149.71
RET00418,TX002771,2026-06-20 00:00:00,Late Delivery,122.16
RET00419,TX002772,2026-06-27 00:00:00,Late Delivery,336.36
RET00420,TX002777,2026-05-09 00:00:00,Late Delivery,226.73
