campaign_id,campaign_name,date,channel,spend,impressions,clicks,conversions
CAMP00096,LumaStyle_GoogleAds_202401,2024-01-20,Google Ads,205.72,11655,243,8
CAMP00097,LumaStyle_MetaAds_202401,2024-01-20,Meta Ads,122.53,7510,87,3
CAMP00098,LumaStyle_Email_202401,2024-01-20,Email,36.06,3512,540,9
CAMP00099,LumaStyle_Organic_202401,2024-01-20,Organic,0.0,5025,157,2
CAMP00100,LumaStyle_Referral_202401,2024-01-20,Referral,0.0,1597,89,6
CAMP00101,LumaStyle_GoogleAds_202401,2024-01-21,Google Ads,323.88,19351,594,16
CAMP00102,LumaStyle_MetaAds_202401,2024-01-21,Meta Ads,282.35,15448,205,11
CAMP00103,LumaStyle_Email_202401,2024-01-21,Email,74.22,3850,663,17
CAMP00104,LumaStyle_Organic_202401,2024-01-21,Organic,0.0,6803,227,5
CAMP00105,LumaStyle_Referral_202401,2024-01-21,Referral,0.0,670,78,3
CAMP00106,LumaStyle_GoogleAds_202401,2024-01-22,Google Ads,378.58,18651,508,17
CAMP00107,LumaStyle_MetaAds_202401,2024-01-22,Meta Ads,315.59,19404,212,7
CAMP00108,LumaStyle_Email_202401,2024-01-22,Email,75.74,4822,523,7
CAMP00109,LumaStyle_Organic_202401,2024-01-22,Organic,0.0,3968,148,1
CAMP00110,LumaStyle_Referral_202401,2024-01-22,Referral,0.0,1631,133,5
CAMP00111,LumaStyle_GoogleAds_202401,2024-01-23,Google Ads,259.66,13129,451,15
CAMP00112,LumaStyle_MetaAds_202401,2024-01-23,Meta Ads,171.35,12065,160,5
CAMP00113,LumaStyle_Email_202401,2024-01-23,Email,39.63,3179,376,11
CAMP00114,LumaStyle_Organic_202401,2024-01-23,Organic,0.0,6506,205,3
CAMP00115,LumaStyle_Referral_202401,2024-01-23,Referral,0.0,992,105,7
CAMP00116,LumaStyle_GoogleAds_202401,2024-01-24,Google Ads,240.61,11276,205,7
CAMP00117,LumaStyle_MetaAds_202401,2024-01-24,Meta Ads,325.86,17598,198,12
CAMP00118,LumaStyle_Email_202401,2024-01-24,Email,40.75,2830,551,14
CAMP00119,LumaStyle_Organic_202401,2024-01-24,Organic,0.0,7543,218,5
CAMP00120,LumaStyle_Referral_202401,2024-01-24,Referral,0.0,1910,194,12
CAMP00121,LumaStyle_GoogleAds_202401,2024-01-25,Google Ads,181.44,10482,265,13
CAMP00122,LumaStyle_MetaAds_202401,2024-01-25,Meta Ads,314.17,17582,242,16
CAMP00123,LumaStyle_Email_202401,2024-01-25,Email,67.74,3503,634,15
CAMP00124,LumaStyle_Organic_202401,2024-01-25,Organic,0.0,7919,218,3
CAMP00125,LumaStyle_Referral_202401,2024-01-25,Referral,0.0,1865,135,7
CAMP00126,LumaStyle_GoogleAds_202401,2024-01-26,Google Ads,158.94,9076,151,4
CAMP00127,LumaStyle_MetaAds_202401,2024-01-26,Meta Ads,284.13,22227,272,9
CAMP00128,LumaStyle_Email_202401,2024-01-26,Email,78.52,2119,272,4
CAMP00129,LumaStyle_Organic_202401,2024-01-26,Organic,0.0,7526,166,4
CAMP00130,LumaStyle_Referral_202401,2024-01-26,Referral,0.0,1887,101,7
CAMP00131,LumaStyle_GoogleAds_202401,2024-01-27,Google Ads,385.75,15825,363,7
CAMP00132,LumaStyle_MetaAds_202401,2024-01-27,Meta Ads,248.19,17501,299,14
CAMP00133,LumaStyle_Email_202401,2024-01-27,Email,67.84,4619,520,15
CAMP00134,LumaStyle_Organic_202401,2024-01-27,Organic,0.0,3145,65,1
CAMP00135,LumaStyle_Referral_202401,2024-01-27,Referral,0.0,1975,217,13
CAMP00136,LumaStyle_GoogleAds_202401,2024-01-28,Google Ads,470.98,27358,642,17
CAMP00137,LumaStyle_MetaAds_202401,2024-01-28,Meta Ads,313.12,24067,335,11
CAMP00138,LumaStyle_Email_202401,2024-01-28,Email,76.78,2998,451,10
CAMP00139,LumaStyle_Organic_202401,2024-01-28,Organic,0.0,3934,79,1
CAMP00140,LumaStyle_Referral_202401,2024-01-28,Referral,0.0,1985,223,14
CAMP00141,LumaStyle_GoogleAds_202401,2024-01-29,Google Ads,308.52,17452,284,6
CAMP00142,LumaStyle_MetaAds_202401,2024-01-29,Meta Ads,234.19,16415,266,16
CAMP00143,LumaStyle_Email_202401,2024-01-29,Email,73.12,3769,526,9
CAMP00144,LumaStyle_Organic_202401,2024-01-29,Organic,0.0,3343,68,1
CAMP00145,LumaStyle_Referral_202401,2024-01-29,Referral,0.0,877,50,2
CAMP00146,LumaStyle_GoogleAds_202401,2024-01-30,Google Ads,315.12,16801,258,6
CAMP00147,LumaStyle_MetaAds_202401,2024-01-30,Meta Ads,278.01,21209,293,9
CAMP00148,LumaStyle_Email_202401,2024-01-30,Email,31.17,2215,397,6
CAMP00149,LumaStyle_Organic_202401,2024-01-30,Organic,0.0,5683,220,3
CAMP00150,LumaStyle_Referral_202401,2024-01-30,Referral,0.0,1836,205,14
CAMP00151,LumaStyle_GoogleAds_202401,2024-01-31,Google Ads,307.89,15573,237,11
CAMP00152,LumaStyle_MetaAds_202401,2024-01-31,Meta Ads,328.36,25583,385,23
CAMP00153,LumaStyle_Email_202401,2024-01-31,Email,28.67,2536,361,8
CAMP00154,LumaStyle_Organic_202401,2024-01-31,Organic,0.0,4654,153,2
CAMP00155,LumaStyle_Referral_202401,2024-01-31,Referral,0.0,850,83,4
CAMP00156,LumaStyle_GoogleAds_202402,2024-02-01,Google Ads,375.73,15658,289,8
CAMP00157,LumaStyle_MetaAds_202402,2024-02-01,Meta Ads,378.37,20519,291,16
CAMP00158,LumaStyle_Email_202402,2024-02-01,Email,32.17,4835,493,8
CAMP00159,LumaStyle_Organic_202402,2024-02-01,Organic,0.0,3598,89,1
CAMP00160,LumaStyle_Referral_202402,2024-02-01,Referral,0.0,1506,169,11
CAMP00161,LumaStyle_GoogleAds_202402,2024-02-02,Google Ads,155.13,6997,195,7
CAMP00162,LumaStyle_MetaAds_202402,2024-02-02,Meta Ads,431.74,25001,348,19
CAMP00163,LumaStyle_Email_202402,2024-02-02,Email,33.8,4478,787,15
CAMP00164,LumaStyle_Organic_202402,2024-02-02,Organic,0.0,3991,146,3
CAMP00165,LumaStyle_Referral_202402,2024-02-02,Referral,0.0,1411,160,11
CAMP00166,LumaStyle_GoogleAds_202402,2024-02-03,Google Ads,154.67,8439,220,7
CAMP00167,LumaStyle_MetaAds_202402,2024-02-03,Meta Ads,233.3,15358,185,12
CAMP00168,LumaStyle_Email_202402,2024-02-03,Email,31.88,4612,821,20
CAMP00169,LumaStyle_Organic_202402,2024-02-03,Organic,0.0,5872,197,3
CAMP00170,LumaStyle_Referral_202402,2024-02-03,Referral,0.0,1108,72,2
CAMP00171,LumaStyle_GoogleAds_202402,2024-02-04,Google Ads,174.43,7233,218,8
CAMP00172,LumaStyle_MetaAds_202402,2024-02-04,Meta Ads,169.72,12261,156,5
CAMP00173,LumaStyle_Email_202402,2024-02-04,Email,43.5,3969,732,12
CAMP00174,LumaStyle_Organic_202402,2024-02-04,Organic,0.0,6453,131,1
CAMP00175,LumaStyle_Referral_202402,2024-02-04,Referral,0.0,998,116,8
CAMP00176,LumaStyle_GoogleAds_202402,2024-02-05,Google Ads,184.13,10834,335,10
CAMP00177,LumaStyle_MetaAds_202402,2024-02-05,Meta Ads,379.85,27278,471,24
CAMP00178,LumaStyle_Email_202402,2024-02-05,Email,73.9,3178,691,11
CAMP00179,LumaStyle_Organic_202402,2024-02-05,Organic,0.0,6694,217,3
CAMP00180,LumaStyle_Referral_202402,2024-02-05,Referral,0.0,844,62,4
CAMP00181,LumaStyle_GoogleAds_202402,2024-02-06,Google Ads,154.49,7005,196,8
CAMP00182,LumaStyle_MetaAds_202402,2024-02-06,Meta Ads,374.53,18768,249,9
CAMP00183,LumaStyle_Email_202402,2024-02-06,Email,75.49,3644,753,16
CAMP00184,LumaStyle_Organic_202402,2024-02-06,Organic,0.0,6688,151,3
CAMP00185,LumaStyle_Referral_202402,2024-02-06,Referral,0.0,553,32,2
CAMP00186,LumaStyle_GoogleAds_202402,2024-02-07,Google Ads,410.76,16563,485,14
CAMP00187,LumaStyle_MetaAds_202402,2024-02-07,Meta Ads,396.39,20648,358,18
CAMP00188,LumaStyle_Email_202402,2024-02-07,Email,56.32,4878,642,6
CAMP00189,LumaStyle_Organic_202402,2024-02-07,Organic,0.0,7713,217,3
CAMP00190,LumaStyle_Referral_202402,2024-02-07,Referral,0.0,1641,147,7
CAMP00191,LumaStyle_GoogleAds_202402,2024-02-08,Google Ads,282.94,16396,362,17
CAMP00192,LumaStyle_MetaAds_202402,2024-02-08,Meta Ads,430.46,30037,513,24
CAMP00193,LumaStyle_Email_202402,2024-02-08,Email,32.65,2154,272,7
CAMP00194,LumaStyle_Organic_202402,2024-02-08,Organic,0.0,4188,149,2
CAMP00195,LumaStyle_Referral_202402,2024-02-08,Referral,0.0,855,85,3
CAMP00196,LumaStyle_GoogleAds_202402,2024-02-09,Google Ads,340.69,18645,360,8
CAMP00197,LumaStyle_MetaAds_202402,2024-02-09,Meta Ads,185.0,13847,237,15
CAMP00198,LumaStyle_Email_202402,2024-02-09,Email,58.79,3185,598,7
CAMP00199,LumaStyle_Organic_202402,2024-02-09,Organic,0.0,5710,157,2
CAMP00200,LumaStyle_Referral_202402,2024-02-09,Referral,0.0,764,70,4
CAMP00201,LumaStyle_GoogleAds_202402,2024-02-10,Google Ads,353.47,20294,503,12
CAMP00202,LumaStyle_MetaAds_202402,2024-02-10,Meta Ads,159.43,11653,142,4
CAMP00203,LumaStyle_Email_202402,2024-02-10,Email,70.31,2705,376,6
CAMP00204,LumaStyle_Organic_202402,2024-02-10,Organic,0.0,4735,102,3
CAMP00205,LumaStyle_Referral_202402,2024-02-10,Referral,0.0,514,41,1
CAMP00206,LumaStyle_GoogleAds_202402,2024-02-11,Google Ads,435.61,24290,493,17
CAMP00207,LumaStyle_MetaAds_202402,2024-02-11,Meta Ads,198.52,11301,205,6
CAMP00208,LumaStyle_Email_202402,2024-02-11,Email,33.68,3442,598,7
CAMP00209,LumaStyle_Organic_202402,2024-02-11,Organic,0.0,6997,197,2
CAMP00210,LumaStyle_Referral_202402,2024-02-11,Referral,0.0,1701,202,12
CAMP00211,LumaStyle_GoogleAds_202402,2024-02-12,Google Ads,417.55,24470,677,20
CAMP00212,LumaStyle_MetaAds_202402,2024-02-12,Meta Ads,260.27,14920,198,8
CAMP00213,LumaStyle_Email_202402,2024-02-12,Email,78.5,3059,507,5
CAMP00214,LumaStyle_Organic_202402,2024-02-12,Organic,0.0,7736,169,2
CAMP00215,LumaStyle_Referral_202402,2024-02-12,Referral,0.0,516,34,2
CAMP00216,LumaStyle_GoogleAds_202402,2024-02-13,Google Ads,421.47,22050,467,20
CAMP00217,LumaStyle_MetaAds_202402,2024-02-13,Meta Ads,186.87,14030,117,4
CAMP00218,LumaStyle_Email_202402,2024-02-13,Email,51.69,3931,722,11
CAMP00219,LumaStyle_Organic_202402,2024-02-13,Organic,0.0,6014,149,3
CAMP00220,LumaStyle_Referral_202402,2024-02-13,Referral,0.0,1975,225,9
CAMP00221,LumaStyle_GoogleAds_202402,2024-02-14,Google Ads,474.58,21409,732,18
CAMP00222,LumaStyle_MetaAds_202402,2024-02-14,Meta Ads,410.17,20654,298,16
CAMP00223,LumaStyle_Email_202402,2024-02-14,Email,65.79,4074,586,13
CAMP00224,LumaStyle_Organic_202402,2024-02-14,Organic,0.0,7110,143,3
CAMP00225,LumaStyle_Referral_202402,2024-02-14,Referral,0.0,1187,71,3
CAMP00226,LumaStyle_GoogleAds_202402,2024-02-15,Google Ads,167.88,9483,263,8
CAMP00227,LumaStyle_MetaAds_202402,2024-02-15,Meta Ads,426.66,32717,536,31
CAMP00228,LumaStyle_Email_202402,2024-02-15,Email,71.67,3506,498,13
CAMP00229,LumaStyle_Organic_202402,2024-02-15,Organic,0.0,5143,158,3
CAMP00230,LumaStyle_Referral_202402,2024-02-15,Referral,0.0,564,35,2
CAMP00231,LumaStyle_GoogleAds_202402,2024-02-16,Google Ads,475.96,23966,366,14
CAMP00232,LumaStyle_MetaAds_202402,2024-02-16,Meta Ads,354.67,25461,371,24
CAMP00233,LumaStyle_Email_202402,2024-02-16,Email,52.85,3144,376,5
CAMP00234,LumaStyle_Organic_202402,2024-02-16,Organic,0.0,5971,193,1
CAMP00235,LumaStyle_Referral_202402,2024-02-16,Referral,0.0,641,50,3
CAMP00236,LumaStyle_GoogleAds_202402,2024-02-17,Google Ads,165.82,8044,131,3
CAMP00237,LumaStyle_MetaAds_202402,2024-02-17,Meta Ads,236.35,16672,327,21
CAMP00238,LumaStyle_Email_202402,2024-02-17,Email,28.57,4805,646,16
CAMP00239,LumaStyle_Organic_202402,2024-02-17,Organic,0.0,6512,173,3
CAMP00240,LumaStyle_Referral_202402,2024-02-17,Referral,0.0,1247,120,7
CAMP00241,LumaStyle_GoogleAds_202402,2024-02-18,Google Ads,194.91,10958,214,8
CAMP00242,LumaStyle_MetaAds_202402,2024-02-18,Meta Ads,397.78,31535,302,12
CAMP00243,LumaStyle_Email_202402,2024-02-18,Email,61.32,3214,497,10
CAMP00244,LumaStyle_Organic_202402,2024-02-18,Organic,0.0,4521,132,3
CAMP00245,LumaStyle_Referral_202402,2024-02-18,Referral,0.0,1685,154,11
CAMP00246,LumaStyle_GoogleAds_202402,2024-02-19,Google Ads,471.93,22443,538,15
CAMP00247,LumaStyle_MetaAds_202402,2024-02-19,Meta Ads,240.51,15048,210,14
CAMP00248,LumaStyle_Email_202402,2024-02-19,Email,49.91,4789,480,11
CAMP00249,LumaStyle_Organic_202402,2024-02-19,Organic,0.0,7008,183,4
CAMP00250,LumaStyle_Referral_202402,2024-02-19,Referral,0.0,629,61,3
CAMP00251,LumaStyle_GoogleAds_202402,2024-02-20,Google Ads,203.72,10215,340,7
CAMP00252,LumaStyle_MetaAds_202402,2024-02-20,Meta Ads,354.02,27390,467,16
CAMP00253,LumaStyle_Email_202402,2024-02-20,Email,45.74,3213,517,14
CAMP00254,LumaStyle_Organic_202402,2024-02-20,Organic,0.0,4186,148,1
CAMP00255,LumaStyle_Referral_202402,2024-02-20,Referral,0.0,1230,119,7
CAMP00256,LumaStyle_GoogleAds_202402,2024-02-21,Google Ads,347.11,19482,644,30
CAMP00257,LumaStyle_MetaAds_202402,2024-02-21,Meta Ads,121.69,8064,154,10
CAMP00258,LumaStyle_Email_202402,2024-02-21,Email,37.08,3231,532,11
CAMP00259,LumaStyle_Organic_202402,2024-02-21,Organic,0.0,6173,208,5
CAMP00260,LumaStyle_Referral_202402,2024-02-21,Referral,0.0,1036,57,2
CAMP00261,LumaStyle_GoogleAds_202402,2024-02-22,Google Ads,247.06,13422,460,17
CAMP00262,LumaStyle_MetaAds_202402,2024-02-22,Meta Ads,446.94,23139,397,13
CAMP00263,LumaStyle_Email_202402,2024-02-22,Email,67.19,2742,532,6
CAMP00264,LumaStyle_Organic_202402,2024-02-22,Organic,0.0,4298,149,3
CAMP00265,LumaStyle_Referral_202402,2024-02-22,Referral,0.0,795,78,4
CAMP00266,LumaStyle_GoogleAds_202402,2024-02-23,Google Ads,300.7,15138,270,11
CAMP00267,LumaStyle_MetaAds_202402,2024-02-23,Meta Ads,330.88,20579,244,14
CAMP00268,LumaStyle_Email_202402,2024-02-23,Email,44.72,3519,598,14
CAMP00269,LumaStyle_Organic_202402,2024-02-23,Organic,0.0,7559,211,4
CAMP00270,LumaStyle_Referral_202402,2024-02-23,Referral,0.0,1467,157,10
CAMP00271,LumaStyle_GoogleAds_202402,2024-02-24,Google Ads,272.36,14106,337,7
CAMP00272,LumaStyle_MetaAds_202402,2024-02-24,Meta Ads,385.03,20182,287,19
CAMP00273,LumaStyle_Email_202402,2024-02-24,Email,61.72,3156,586,16
CAMP00274,LumaStyle_Organic_202402,2024-02-24,Organic,0.0,7343,254,2
CAMP00275,LumaStyle_Referral_202402,2024-02-24,Referral,0.0,1387,88,5
CAMP00276,LumaStyle_GoogleAds_202402,2024-02-25,Google Ads,338.04,16603,564,13
CAMP00277,LumaStyle_MetaAds_202402,2024-02-25,Meta Ads,244.12,17880,297,10
CAMP00278,LumaStyle_Email_202402,2024-02-25,Email,43.12,4125,466,8
CAMP00279,LumaStyle_Organic_202402,2024-02-25,Organic,0.0,5758,225,5
CAMP00280,LumaStyle_Referral_202402,2024-02-25,Referral,0.0,955,74,3
CAMP00281,LumaStyle_GoogleAds_202402,2024-02-26,Google Ads,392.2,16734,484,18
CAMP00282,LumaStyle_MetaAds_202402,2024-02-26,Meta Ads,161.64,11342,111,7
CAMP00283,LumaStyle_Email_202402,2024-02-26,Email,21.73,3259,571,12
CAMP00284,LumaStyle_Organic_202402,2024-02-26,Organic,0.0,5637,192,3
CAMP00285,LumaStyle_Referral_202402,2024-02-26,Referral,0.0,1070,60,2
CAMP00286,LumaStyle_GoogleAds_202402,2024-02-27,Google Ads,423.27,19298,521,21
CAMP00287,LumaStyle_MetaAds_202402,2024-02-27,Meta Ads,353.93,20246,360,14
CAMP00288,LumaStyle_Email_202402,2024-02-27,Email,60.99,3104,373,9
CAMP00289,LumaStyle_Organic_202402,2024-02-27,Organic,0.0,7264,166,4
CAMP00290,LumaStyle_Referral_202402,2024-02-27,Referral,0.0,1022,119,6
CAMP00291,LumaStyle_GoogleAds_202402,2024-02-28,Google Ads,422.6,23694,474,13
CAMP00292,LumaStyle_MetaAds_202402,2024-02-28,Meta Ads,289.65,15770,137,6
CAMP00293,LumaStyle_Email_202402,2024-02-28,Email,63.61,4754,820,20
CAMP00294,LumaStyle_Organic_202402,2024-02-28,Organic,0.0,4039,159,2
CAMP00295,LumaStyle_Referral_202402,2024-02-28,Referral,0.0,622,39,2
CAMP00296,LumaStyle_GoogleAds_202402,2024-02-29,Google Ads,176.21,9135,274,10
CAMP00297,LumaStyle_MetaAds_202402,2024-02-29,Meta Ads,375.92,27386,455,23
CAMP00298,LumaStyle_Email_202402,2024-02-29,Email,36.96,3160,373,5
CAMP00299,LumaStyle_Organic_202402,2024-02-29,Organic,0.0,4109,118,2
CAMP00300,LumaStyle_Referral_202402,2024-02-29,Referral,0.0,1413,118,8
CAMP00301,LumaStyle_GoogleAds_202403,2024-03-01,Google Ads,176.01,9153,224,6
CAMP00302,LumaStyle_MetaAds_202403,2024-03-01,Meta Ads,181.09,14476,134,8
CAMP00303,LumaStyle_Email_202403,2024-03-01,Email,58.59,2960,573,7
CAMP00304,LumaStyle_Organic_202403,2024-03-01,Organic,0.0,4418,104,1
CAMP00305,LumaStyle_Referral_202403,2024-03-01,Referral,0.0,1441,168,9
CAMP00306,LumaStyle_GoogleAds_202403,2024-03-02,Google Ads,488.37,29112,525,21
CAMP00307,LumaStyle_MetaAds_202403,2024-03-02,Meta Ads,127.92,8988,121,3
CAMP00308,LumaStyle_Email_202403,2024-03-02,Email,29.76,3287,667,11
CAMP00309,LumaStyle_Organic_202403,2024-03-02,Organic,0.0,3196,69,1
CAMP00310,LumaStyle_Referral_202403,2024-03-02,Referral,0.0,747,62,4
CAMP00311,LumaStyle_GoogleAds_202403,2024-03-03,Google Ads,347.06,17616,583,14
CAMP00312,LumaStyle_MetaAds_202403,2024-03-03,Meta Ads,371.31,25728,383,14
